INFO: Starting game loop
INFO: 0.2: Forward 3 shoots to x:100, y:25
INFO: 6.1: Forward 4 shoots to x:100, y:25
INFO: 10.3: Forward 4 shoots to x:100, y:25
INFO: 19: Forward 4 shoots to x:100, y:25
INFO: 21.7: Forward 4 shoots to x:100, y:25
INFO: 28.4: Forward 4 shoots to x:100, y:25
INFO: 36.9: Forward 4 shoots to x:100, y:25
INFO: 43: Forward 4 shoots to x:100, y:25
INFO: 49: Forward 4 shoots to x:100, y:25
INFO: 55.5: Forward 4 shoots to x:100, y:25
INFO: 61.7: Forward 4 shoots to x:100, y:25
INFO: 66: Forward 4 shoots to x:100, y:25
INFO: 69.4: Forward 4 shoots to x:100, y:25
INFO: 72.6: Forward 4 shoots to x:100, y:25
INFO: 80.2: Forward 4 shoots to x:100, y:25
INFO: 88.7: Forward 4 shoots to x:100, y:25
INFO: 95.5: Forward 4 shoots to x:100, y:25
INFO: 101.4: Forward 4 shoots to x:100, y:25
INFO: 105.2: Forward 4 shoots to x:100, y:25
INFO: 108.6: Forward 4 shoots to x:100, y:25
INFO: 108.8: Forward 3 shoots to x:100, y:25
INFO: 112: Forward 4 shoots to x:100, y:25
INFO: 115.5: Forward 4 shoots to x:100, y:25
INFO: 122.1: Forward 4 shoots to x:100, y:25
INFO: 125.4: Forward 4 shoots to x:100, y:25
INFO: 128.2: Forward 4 shoots to x:100, y:25
INFO: 129.1: GOAL!!!
INFO: Goalkeeper kicks the ball to x:13.037, y:17.58
INFO: 135.3: Defender 0 kicks the ball to x:71, y:15
INFO: 140.5: Defender 0 kicks the ball to x:71, y:35
INFO: 141.6: Forward 4 shoots to x:100, y:25
INFO: 145: Forward 4 shoots to x:100, y:25
INFO: 145.8: GOAL!!!
INFO: 150.6: Defender 0 kicks the ball to x:71, y:35
INFO: 155.2: Forward 4 shoots to x:100, y:25
INFO: 161.2: Forward 4 shoots to x:100, y:25
INFO: 164.9: Forward 4 shoots to x:100, y:25
INFO: 172.7: Forward 4 shoots to x:100, y:25
INFO: 178.7: Forward 4 shoots to x:100, y:25
INFO: 182.1: Forward 4 shoots to x:100, y:25
INFO: 186.5: Forward 4 shoots to x:100, y:25
INFO: 193.1: Forward 4 shoots to x:100, y:25
INFO: 199.9: Forward 4 shoots to x:100, y:25
INFO: 207.8: Forward 4 shoots to x:100, y:25
INFO: 213.9: Forward 4 shoots to x:100, y:25
INFO: 221.2: Forward 4 shoots to x:100, y:25
INFO: 229.4: Forward 4 shoots to x:100, y:25
INFO: 232.4: Forward 4 shoots to x:100, y:25
INFO: 236.1: Forward 4 shoots to x:100, y:25
INFO: 239.5: Forward 4 shoots to x:100, y:25
INFO: 244.2: Forward 4 shoots to x:100, y:25
INFO: 251.9: Forward 4 shoots to x:100, y:25
INFO: 258.4: Forward 4 shoots to x:100, y:25
INFO: 263.7: Forward 4 shoots to x:100, y:25
INFO: 264.5: GOAL!!!
INFO: Goalkeeper kicks the ball to x:19.335, y:33.634
INFO: 273.9: Defender 0 kicks the ball to x:71, y:15
INFO: 277.8: Forward 4 shoots to x:100, y:25
INFO: 282.5: Forward 4 shoots to x:100, y:25
INFO: 288.5: Forward 4 shoots to x:100, y:25
INFO: 292.8: Forward 4 shoots to x:100, y:25
INFO: 296.7: Forward 4 shoots to x:100, y:25
INFO: 301.8: Forward 4 shoots to x:100, y:25
INFO: 308.8: Forward 4 shoots to x:100, y:25
INFO: 316.4: Forward 4 shoots to x:100, y:25
INFO: 327: Defender 0 kicks the ball to x:71, y:35
INFO: 332.2: Defender 0 kicks the ball to x:71, y:35
INFO: 340.9: Forward 4 shoots to x:100, y:25
INFO: 344.6: Defender 0 kicks the ball to x:69.033, y:21.745
INFO: 355.6: Defender 0 kicks the ball to x:71, y:35
INFO: 359.6: Forward 4 shoots to x:100, y:25
INFO: 370.5: Defender 2 kicks the ball to x:71, y:35
INFO: 373.9: Forward 4 shoots to x:100, y:25
INFO: 382.1: Forward 4 shoots to x:100, y:25
INFO: 386.7: Forward 4 shoots to x:100, y:25
INFO: 390: Forward 4 shoots to x:100, y:25
INFO: 390.8: GOAL!!!
INFO: Goalkeeper kicks the ball to x:12.241, y:16.33
INFO: Goalkeeper kicks the ball to x:18.094, y:25.468
INFO: 399.8: Defender 0 kicks the ball to x:71, y:35
INFO: 403.2: Forward 4 shoots to x:100, y:25
INFO: 408.6: Forward 4 shoots to x:100, y:25
INFO: 415.1: Forward 4 shoots to x:100, y:25
INFO: 422.9: Forward 4 shoots to x:100, y:25
INFO: 429.3: Forward 4 shoots to x:100, y:25
INFO: 436.6: Forward 4 shoots to x:100, y:25
INFO: 441.4: Forward 4 shoots to x:100, y:25
INFO: 442.6: GOAL!!!
INFO: 446.4: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 455.7: Defender 0 kicks the ball to x:71, y:35
INFO: 460.9: Defender 0 kicks the ball to x:71, y:15
INFO: 465.1: Forward 4 shoots to x:100, y:25
INFO: 465.6: GOAL!!!
INFO: 469.4: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: Goalkeeper kicks the ball to x:23.818, y:35.32
INFO: 480.3: Defender 0 kicks the ball to x:71, y:35
INFO: 484.4: Forward 4 shoots to x:100, y:25
INFO: 489.3: Forward 4 shoots to x:100, y:25
INFO: 490.3: GOAL!!!
INFO: Goalkeeper kicks the ball to x:11.478, y:15.342
INFO: 495: Defender 1 kicks the ball to x:71, y:15
INFO: 503.3: Defender 0 kicks the ball to x:70.609, y:14.661
INFO: 507.5: Forward 3 shoots to x:100, y:25
INFO: 513.5: Forward 4 shoots to x:100, y:25
INFO: 514.9: Forward 4 shoots to x:100, y:25
INFO: 515.5: GOAL!!!
INFO: 519.3: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 524.6: Forward 4 shoots to x:100, y:25
INFO: 524.8: Forward 3 shoots to x:100, y:25
INFO: 530.8: Forward 4 shoots to x:100, y:25
INFO: 533.6: Forward 4 shoots to x:100, y:25
INFO: 537: Forward 4 shoots to x:100, y:25
INFO: 540.7: Defender 0 kicks the ball to x:71, y:15
INFO: 544.4: Forward 4 shoots to x:100, y:25
INFO: 545.2: GOAL!!!
INFO: 550.1: Defender 0 kicks the ball to x:71, y:35
INFO: 550.5: Defender 1 kicks the ball to x:71, y:35
INFO: 553.9: Forward 4 shoots to x:100, y:25
INFO: 558.7: Forward 4 shoots to x:100, y:25
INFO: 564.4: Forward 4 shoots to x:100, y:25
INFO: 565.2: GOAL!!!
INFO: 569: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 574.2: Defender 0 kicks the ball to x:71, y:35
INFO: 577.6: Forward 4 shoots to x:100, y:25
INFO: 578.4: GOAL!!!
INFO: Goalkeeper kicks the ball to x:17.69, y:35.663
