INFO: Starting game loop
INFO: 0.2: Forward 3 shoots to x:100, y:25
INFO: 11.8: Defender 0 kicks the ball to x:71, y:15
INFO: 19.9: Defender 0 kicks the ball to x:71, y:15
INFO: 31.5: Defender 0 kicks the ball to x:71, y:35
INFO: 36.6: Defender 0 kicks the ball to x:71, y:35
INFO: 45: Forward 4 shoots to x:100, y:25
INFO: 49.7: Forward 4 shoots to x:100, y:25
INFO: 56.2: Forward 4 shoots to x:100, y:25
INFO: Goalkeeper kicks the ball to x:26.688, y:36.971
INFO: 67.9: Defender 0 kicks the ball to x:71, y:15
INFO: 71.4: Forward 4 shoots to x:100, y:25
INFO: 77.8: Forward 4 shoots to x:100, y:25
INFO: 81.3: Forward 4 shoots to x:100, y:25
INFO: 84.8: Forward 4 shoots to x:100, y:25
INFO: 92.2: Forward 4 shoots to x:100, y:25
INFO: 98: Forward 4 shoots to x:100, y:25
INFO: 101.5: Forward 4 shoots to x:100, y:25
INFO: 104.8: Forward 4 shoots to x:100, y:25
INFO: 109.9: Forward 4 shoots to x:100, y:25
INFO: 117.1: Forward 4 shoots to x:100, y:25
INFO: 123.7: Forward 4 shoots to x:100, y:25
INFO: 127.9: Forward 4 shoots to x:100, y:25
INFO: 131: Forward 4 shoots to x:100, y:25
INFO: 135.2: Forward 4 shoots to x:100, y:25
INFO: 138.7: Forward 4 shoots to x:100, y:25
INFO: 145.1: Forward 4 shoots to x:100, y:25
INFO: 151.6: Forward 4 shoots to x:100, y:25
INFO: 159.3: Forward 4 shoots to x:100, y:25
INFO: 165.4: Forward 4 shoots to x:100, y:25
INFO: 172.2: Forward 4 shoots to x:100, y:25
INFO: Goalkeeper kicks the ball to x:18.194, y:33.327
INFO: 186.1: Defender 0 kicks the ball to x:71, y:15
INFO: 188.4: Forward 3 shoots to x:100, y:25
INFO: 192.2: Forward 4 shoots to x:100, y:25
INFO: 197.4: Forward 4 shoots to x:100, y:25
INFO: 202.7: Forward 4 shoots to x:100, y:25
INFO: 203.3: GOAL!!!
INFO: Goalkeeper kicks the ball to x:11.432, y:34.712
INFO: Goalkeeper kicks the ball to x:13.942, y:30.537
INFO: 213: Defender 0 kicks the ball to x:71, y:35
INFO: 216.4: Forward 4 shoots to x:100, y:25
INFO: 218.6: GOAL!!!
INFO: 222.4: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 240.3: Defender 0 kicks the ball to x:71, y:15
INFO: 245.4: Defender 0 kicks the ball to x:71, y:15
INFO: 251.6: Forward 4 shoots to x:100, y:25
INFO: 255.3: Forward 4 shoots to x:100, y:25
INFO: 259.2: Forward 4 shoots to x:100, y:25
INFO: 262.7: Forward 4 shoots to x:100, y:25
INFO: 268.9: Forward 4 shoots to x:100, y:25
INFO: 273.3: Forward 4 shoots to x:100, y:25
INFO: 274.1: GOAL!!!
INFO: 277.9: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 284.4: Defender 0 kicks the ball to x:71, y:35
INFO: 289.3: Forward 4 shoots to x:100, y:25
INFO: 294.4: Forward 4 shoots to x:100, y:25
INFO: 299.9: Forward 4 shoots to x:100, y:25
INFO: 303.4: Forward 4 shoots to x:100, y:25
INFO: 307.5: Forward 4 shoots to x:100, y:25
INFO: 308: GOAL!!!
INFO: Goalkeeper kicks the ball to x:20.77, y:29.74
INFO: 314.1: Defender 0 kicks the ball to x:71, y:15
INFO: Goalkeeper kicks the ball to x:14.371, y:29.3
INFO: Goalkeeper kicks the ball to x:14.983, y:24.272
INFO: 326.4: Defender 0 kicks the ball to x:71, y:15
INFO: 329.9: Forward 4 shoots to x:100, y:25
INFO: 334.4: Forward 4 shoots to x:100, y:25
INFO: 342.4: Forward 4 shoots to x:100, y:25
INFO: 349.8: Forward 4 shoots to x:100, y:25
INFO: 357.1: Forward 4 shoots to x:100, y:25
INFO: 362: Forward 4 shoots to x:100, y:25
INFO: 367: Forward 4 shoots to x:100, y:25
INFO: 373: Forward 4 shoots to x:100, y:25
INFO: 379.8: Forward 4 shoots to x:100, y:25
INFO: 384.1: Forward 4 shoots to x:100, y:25
INFO: 387.6: Forward 4 shoots to x:100, y:25
INFO: 394.4: Forward 4 shoots to x:100, y:25
INFO: 401.7: Forward 4 shoots to x:100, y:25
INFO: 407.6: Forward 4 shoots to x:100, y:25
INFO: 413.3: Forward 4 shoots to x:100, y:25
INFO: 419.4: Forward 4 shoots to x:100, y:25
INFO: 423.3: Forward 4 shoots to x:100, y:25
INFO: 424.4: GOAL!!!
INFO: 428.2: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: Goalkeeper kicks the ball to x:14.975, y:25.875
INFO: 438.5: Defender 2 kicks the ball to x:71, y:35
INFO: 442: Forward 4 shoots to x:100, y:25
INFO: 444.6: GOAL!!!
INFO: 449.5: Defender 0 kicks the ball to x:71, y:35
INFO: 449.7: Defender 2 kicks the ball to x:71, y:35
INFO: 455.2: Defender 0 kicks the ball to x:71, y:15
INFO: 458.7: Forward 4 shoots to x:100, y:25
INFO: 465.7: Defender 0 kicks the ball to x:71, y:15
INFO: 469.3: Forward 4 shoots to x:100, y:25
INFO: 470.1: GOAL!!!
INFO: 474.7: Defender 0 kicks the ball to x:71, y:35
INFO: 477.5: GOAL!!!
INFO: 477.7: Forward 3 shoots to x:100, y:25
INFO: 483.2: Forward 4 shoots to x:100, y:25
INFO: 484: GOAL!!!
INFO: Goalkeeper kicks the ball to x:13.723, y:18.942
INFO: 490: Defender 1 kicks the ball to x:71, y:15
INFO: 493.4: Forward 4 shoots to x:100, y:25
INFO: 498.1: Forward 4 shoots to x:100, y:25
INFO: 503.4: Forward 4 shoots to x:100, y:25
INFO: 515.6: Defender 0 kicks the ball to x:71, y:15
INFO: 523.3: Defender 0 kicks the ball to x:71, y:15
INFO: 527: Defender 0 kicks the ball to x:71, y:15
INFO: 533.6: Defender 0 kicks the ball to x:71, y:35
INFO: 537.1: Forward 4 shoots to x:100, y:25
INFO: 544.5: Defender 0 kicks the ball to x:71.11, y:15.496
INFO: 547.9: Forward 4 shoots to x:100, y:25
INFO: 549: Forward 4 shoots to x:100, y:25
INFO: 557.7: Defender 0 kicks the ball to x:71, y:15
INFO: 562.9: Defender 0 kicks the ball to x:71, y:15
INFO: 563.8: Forward 3 shoots to x:100, y:25
INFO: 567.8: Forward 4 shoots to x:100, y:25
INFO: 578.6: Defender 1 kicks the ball to x:71, y:35
INFO: 589.4: Defender 0 kicks the ball to x:71, y:15
INFO: 593.6: Forward 4 shoots to x:100, y:25
INFO: 597.9: Forward 4 shoots to x:100, y:25
INFO: 598.6: GOAL!!!
INFO: Goalkeeper kicks the ball to x:9.198, y:13.15
INFO: 604.8: Defender 0 kicks the ball to x:71, y:15
INFO: 610.7: Defender 2 kicks the ball to x:68.091, y:27.556
INFO: 617.4: Defender 2 kicks the ball to x:71, y:35
INFO: 620.9: Forward 4 shoots to x:100, y:25
INFO: 622: GOAL!!!
INFO: 625.8: Defender 0 kicks the ball to x:68.725, y:14.897
INFO: 630.5: Forward 4 shoots to x:100, y:25
INFO: 635.6: Forward 4 shoots to x:100, y:25
